index,wave,country,imp_family,imp_religion,happiness,satisfaction_life,univ_imp_boy_girl,housewife_fulfill_work,marital,num_children,satisfaction_finance,confidence_women_org,respect_human,religious_denom,religious_person,justify_gay,justify_abortion,justify_divorce,employment_status,chief_wage,sex,year_birth,age,edu,edu_age_complete,ethnic,survey_year
83206,6,840,1,2,1,9,3,2,1,2,8,2,2,0,1,7,7,8,4,1,1,1949,62,9.0,26.0,840002,2011
83207,6,840,1,2,2,8,3,3,6,0,5,-2,3,62,1,-2,-2,-2,8,-2,1,1984,27,7.0,18.0,840006,2011
83208,6,840,1,2,2,7,3,2,6,0,6,2,2,62,1,1,2,1,1,1,1,1984,27,9.0,24.0,840002,2011
83209,6,840,1,1,2,8,4,1,5,4,9,3,2,62,1,9,2,5,4,2,2,1934,77,7.0,17.0,840006,2011
83210,6,840,1,2,2,8,3,3,1,3,7,2,2,62,2,6,6,6,1,1,1,1963,48,9.0,22.0,840002,2011
83211,6,840,1,1,2,8,3,3,1,2,9,3,1,62,1,3,2,3,4,1,1,1937,74,9.0,23.0,840002,2011
83212,6,840,1,1,2,7,4,2,2,2,5,3,3,53,1,10,5,8,5,2,2,1988,23,8.0,23.0,840003,2011
83213,6,840,1,4,1,8,3,2,1,1,9,2,2,0,2,10,5,10,7,2,2,1964,47,7.0,18.0,840002,2011
83214,6,840,1,4,1,7,4,3,3,3,8,1,3,0,3,10,10,10,2,1,2,1945,66,9.0,21.0,840002,2011
83215,6,840,1,3,2,4,3,3,6,0,1,2,3,0,2,10,10,10,3,1,2,1955,56,9.0,44.0,840002,2011
83216,6,840,1,3,2,8,3,2,1,3,8,1,2,64,1,5,8,5,5,2,2,1964,47,7.0,18.0,840002,2011
83217,6,840,1,1,2,8,3,1,1,3,5,3,1,64,1,1,1,4,4,1,1,1939,72,9.0,24.0,840002,2011
83218,6,840,1,4,1,8,4,2,1,0,8,3,3,0,2,4,6,7,1,2,1,1982,29,9.0,29.0,840002,2011
83219,6,840,1,4,2,7,3,2,2,0,7,3,2,0,3,7,7,7,5,2,2,1980,31,9.0,21.0,840004,2011
83220,6,840,1,1,1,8,4,4,6,0,5,2,3,0,1,1,1,1,6,2,1,1993,18,6.0,18.0,840003,2011
83221,6,840,1,1,2,8,4,2,1,0,7,2,2,53,1,1,5,5,1,1,2,1988,23,9.0,25.0,840002,2011
83222,6,840,2,4,2,6,4,1,6,0,4,2,2,0,2,5,5,5,1,1,1,1962,49,9.0,25.0,840002,2011
83223,6,840,1,1,1,9,3,3,5,3,9,2,2,52,1,10,10,10,4,1,2,1926,85,8.0,25.0,840006,2011
